random,3500,25000,30000,4377
random,3500,26000,30000,4568
random,3500,27000,30000,4763
random,3500,28000,30000,4954
random,3500,29000,30000,5126
random,3500,30000,30000,5302
random,4000,1000,30000,179
random,4000,2000,30000,354
random,4000,3000,30000,530
random,4000,4000,30000,702
random,4000,5000,30000,875
random,4000,6000,30000,1066
random,4000,7000,30000,1254
random,4000,8000,30000,1419
random,4000,9000,30000,1585
random,4000,10000,30000,1765
random,4000,11000,30000,1943
random,4000,12000,30000,2138
random,4000,13000,30000,2324
random,4000,14000,30000,2475
random,4000,15000,30000,2646
random,4000,16000,30000,2825
random,4000,17000,30000,3014
random,4000,18000,30000,3186
random,4000,19000,30000,3361
random,4000,20000,30000,3550
random,4000,21000,30000,3713
random,4000,22000,30000,3883
random,4000,23000,30000,4063
random,4000,24000,30000,4249
random,4000,25000,30000,4450
random,4000,26000,30000,4625
random,4000,27000,30000,4808
random,4000,28000,30000,5011
random,4000,29000,30000,5197
random,4000,30000,30000,5382
random,4500,1000,30000,192
random,4500,2000,30000,372
random,4500,3000,30000,552
random,4500,4000,30000,731
random,4500,5000,30000,923
random,4500,6000,30000,1093
random,4500,7000,30000,1268
random,4500,8000,30000,1445
random,4500,9000,30000,1648
random,4500,10000,30000,1803
random,4500,11000,30000,1980
random,4500,12000,30000,2151
random,4500,13000,30000,2319
random,4500,14000,30000,2502
random,4500,15000,30000,2699
random,4500,16000,30000,2865
random,4500,17000,30000,3039
random,4500,18000,30000,3227
random,4500,19000,30000,3417
random,4500,20000,30000,3603
random,4500,21000,30000,3809
random,4500,22000,30000,3996
random,4500,23000,30000,4157
random,4500,24000,30000,4313
random,4500,25000,30000,4497
random,4500,26000,30000,4681
random,4500,27000,30000,4856
random,4500,28000,30000,5018
random,4500,29000,30000,5190
random,4500,30000,30000,5347
random,5000,1000,30000,189
random,5000,2000,30000,362
random,5000,3000,30000,538
random,5000,4000,30000,712
random,5000,5000,30000,884
random,5000,6000,30000,1057
random,5000,7000,30000,1237
random,5000,8000,30000,1412
random,5000,9000,30000,1588
random,5000,10000,30000,1768
